LSOA21CD,LSOA21NM,LSOA21NMW,ObjectId
E01011463,Leeds 028D,,10807
E01011464,Leeds 028E,,10808
E01011465,Leeds 027E,,10809
E01011466,Leeds 094A,,10810
E01011467,Leeds 112A,,10811
E01011468,Leeds 112B,,10812
E01011469,Leeds 094B,,10813
E01011470,Leeds 112C,,10814
E01011471,Leeds 092A,,10815
E01011472,Leeds 092B,,10816
E01011473,Leeds 092C,,10817
E01011474,Leeds 092D,,10818
E01011475,Leeds 094C,,10819
E01011476,Leeds 094D,,10820
E01011477,Leeds 045A,,10821
E01011478,Leeds 056A,,10822
E01011479,Leeds 056B,,10823
E01011480,Leeds 045B,,10824
E01011481,Leeds 056C,,10825
E01011482,Leeds 056D,,10826
E01011483,Leeds 056E,,10827
E01011484,Leeds 033A,,10828
E01011485,Leeds 033B,,10829
E01011488,Leeds 045C,,10830
E01011489,Leeds 045D,,10831
E01011491,Leeds 101A,,10832
E01011492,Leeds 101B,,10833
E01011493,Leeds 101C,,10834
E01011494,Leeds 101D,,10835
E01011496,Leeds 100A,,10836
E01011497,Leeds 101E,,10837
E01011500,Leeds 105D,,10838
E01011502,Leeds 099C,,10839
E01011504,Leeds 032A,,10840
E01011505,Leeds 025A,,10841
E01011506,Leeds 025B,,10842
E01011507,Leeds 025C,,10843
E01011508,Leeds 024A,,10844
E01011509,Leeds 023A,,10845
E01011510,Leeds 025D,,10846
E01011511,Leeds 023B,,10847
E01011512,Leeds 023C,,10848
E01011513,Leeds 031A,,10849
E01011514,Leeds 025E,,10850
E01011515,Leeds 023D,,10851
E01011516,Leeds 023E,,10854
E01011517,Leeds 024B,,10855
E01011518,Leeds 093A,,10856
E01011519,Leeds 095A,,10857
E01011520,Leeds 096A,,10858
E01011521,Leeds 096B,,10859
E01011522,Leeds 095B,,10860
E01011523,Leeds 096C,,10861
E01011524,Leeds 093B,,10862
E01011525,Leeds 095C,,10863
E01011526,Leeds 093C,,10864
E01011527,Leeds 096D,,10865
E01011528,Leeds 095D,,10866
E01011529,Leeds 096E,,10867
E01011530,Leeds 106A,,10868
E01011531,Leeds 093D,,10869
E01011532,Leeds 095E,,10870
E01011533,Leeds 104A,,10871
E01011534,Leeds 106B,,10872
E01011535,Leeds 108A,,10873
E01011536,Leeds 108B,,10874
E01011537,Leeds 107A,,10875
E01011538,Leeds 107B,,10876
E01011540,Leeds 102B,,10877
E01011541,Leeds 104B,,10878
E01011545,Leeds 104C,,10879
E01011546,Leeds 106C,,10880
E01011547,Leeds 104D,,10881
E01011548,Leeds 106D,,10882
E01011549,Leeds 108C,,10883
E01011550,Leeds 106E,,10884
E01011551,Leeds 107C,,10885
